"","car_park_no","address","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","longtitude","latitude"
"1","ACB","BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK","BASEMENT CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",1,1.8,"Y",103.854118049931,1.3010632720875
"2","ACM","BLK 98A ALJUNIED CRESCENT","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",5,2.1,"N",103.885060947615,1.32100429010596
"3","AH1","BLK 101 JALAN DUSUN","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",0,0,"N",103.844619889146,1.32828349510941
"4","AK19","BLOCK 253 ANG MO KIO STREET 21","SURFACE CAR PARK","COUPON PARKING","7AM-7PM","NO","NO",0,0,"N",103.834984850341,1.36909121614356
"5","AK31","BLK 302/348 ANG MO KIO STREET 31","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO",0,0,"N",103.846635631616,1.36612042431733
"6","AK52","BLK 513 ANG MO KIO STREET 53","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","NO","YES",0,0,"N",103.850295697425,1.37243863344225
"7","AK83","BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO",0,0,"N",103.863845113107,1.37667820868216
"8","AK9","ANG MO KIO AVENUE 9","SURFACE CAR PARK","COUPON PARKING","NO","NO","NO",0,0,"N",103.848368086653,1.38359905765514
"9","AM14","BLK 227 ANG MO KIO STREET 23","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",6,2.15,"N",103.840301102652,1.36874109455501
"10","AM16","BLK 256A ANG MO KIO STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",2,2.15,"N",103.835718285157,1.37034980121361
"11","AM18","BLK 308C ANG MO KIO AVENUE 1","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO",3,2.15,"N",103.844619390219,1.36554001278626
"12","AM19","BLK 260 ANG MO KIO STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",6,2.15,"N",103.834531023822,1.36888619793395
"13","AM20","BLK 309B ANG MO KIO STREET 31","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.846088586118,1.36469773293712
"14","AM22","BLK 316B ANG MO KIO STREET 31","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",12,2.15,"N",103.847653026352,1.36458829147513
"15","AM32","BLK 255A ANG MO KIO STREET 21","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES",2,2.15,"N",103.834376815543,1.37053252446107
"16","AM43","BLK 455 ANG MO KIO STREET 44","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES",7,2.15,"N",103.857303546667,1.36861071867199
