"","ADDRESSPOSTALCODE","ADDRESSBUILDINGNAME","ADDRESSUNITNUMBER","ADDRESSFLOORNUMBER","ADDRESSSTREETNAME","ADDRESSBLOCKHOUSENUMBER","DESCRIPTION","NAME","Longtitude","Latitude"
"1","78989","","","","Tras Street","50","Operating Hours: 7.00am - 10.00am","The Pit",103.844202079592,1.27811388348071
"2","287992","House J and S","","","Turf Club Road","100","Operating Hours: Monday, Wednesday, Friday:  12.00pm - 9.30pm Tuesday, Thursday: 12.00pm - 10.00pm Saturday: 10.00am - 5.30pm","The Stable Mixed Martial Arts",103.795898242377,1.3342195983767
"3","579783","","","","Bishan St. 4","5","Facilities: Standard Gymnasium Equipment Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday) Tel: 6353 9238","Bishan ClubFITT Gym",103.850922071159,1.35528262760188
"4","208568","King George's Building","","","King George's Ave","328","","The Yoga Place",103.862090963732,1.30992191079359
"5","559022","","10","1","Bughley Drive Blk B","45","","Sky Fitness - Serangoon Gardens",103.85957105374,1.36000966368369
"6","555981","","","","Serangoon Gardens Way","85A","Operating Hours: Monday - Friday 8.00am - 2.00pm 4.00pm - 9.00pm Saturday 9.00am - 4.00pm Sunday & PH: Closed","Slender Shapes - Serangoon Gardens Way",103.864884313373,1.36389982541919
"7","738597","Woodlands Stadium","","","WoodlandsCentre","495","Facilities: Standard Gymnasium Equipment Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday) Tel: 6362 9101","Woodlands ClubFITT Gym",103.780306573729,1.43489537703518
"8","569770","","","","Ang Mo Kio Ave 9","200","Facilities: Standard Gymnasium Equipment Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday) Tel: 6483 9370","Yio Chu Kang ClubFITT Gym",103.845767858372,1.38227243116352
"9","769130","","","","YishunAve 1","101","Facilities: Standard Gymnasium Equipment Operating Hours: 7.00 AM to 10.00 PM (Mon/Wed/Fri), 8.30 AM to 10.00 PM (Tue/Thur), 8.30 AM to 8.00 PM (Sat), (9.00 AM to 8.00 Pm (Sun), 9.00 AM to 5.00 PM (Public Holiday) Tel: 6851 8604","Yishun ClubFITT Gym",103.83117739651,1.41201836574556
"10","238841","Orchard Plaza","9","7","Orchard Road","150","","Zattva Yoga Studio",103.841150152248,1.30125729612721
"11","48583","","1","8","Raffles Quay","1","Facilities: Group Exercise studios  Kinesis studio, free-weight and strength equipment, cardio equipment Operating Hours: Monday ? Friday : 6.00am ? 10.00pm  Saturday : 8.00am ? 5.00pm  Sunday and Public Holidays : 10.00am ? 5.00pm  Tel: 6327 5550","Fitness First - One Raffles Quay",103.851677105821,1.28089478900143
"12","238859","","13","8","","41282","Facilities: Cardio equipment, weight machines, free weights, Group Exercise studio , cycling studio, Mind & Body studio Operating Hours: Monday ? Saturday : 6.30am ? 10.30pm  Sunday and Public Holidays : 8.00am ? 10.00pm  Tel: 6737 7889","Fitness First - Paragon",103.835240311923,1.30372322367268
"13","237994","Great World City Mall","14","3","Kim Seng Promenade","1","Operating Hours: Mon ? Fri: 6am ? 10pm  Sat ? Sun: 7am ? 9pm  Public Holiday: 8am ? 8pm  Tel: 6235 9622","True Fitness - Great World City",103.831757911005,1.29380236091495
"14","188024","","","4","Victoria Street","230","Facilities: - Group X Studio - Indoor Cycling Studio - Cardio Machines - Resistance Machines - Free Weights - Xpress Zone - Kick Fit Area - Steam & Sauna Operating Hours: Monday to Saturday: 6:00 am - 12:00 midnight Sunday and Public Holidays*: 8:00 am - 10:00 pm. Tel: 6337 257","California Fitness - Bugis",103.855786976518,1.30014248326867
"15","569933","","36","B1","Ang Mo Kio Ave 3","53","Facilities: Mind and Body studio, Group Exercise studio, cardio equipment (including treadmills, bikes, steppers and the revolutionary Technogym CardioWave?), weight machines and free weights. Operating Hours: Monday ? Friday : 6.00am ? 10.00pm  Saturday, Sunday and Public Holi","Fitness First - AMK Hub",103.848399235571,1.36924890739398
"16","307683","","","","Velocity @ Novena","3","Facilities: - Group X Studio - Indoor Cycling Studio - Cardio Machines - Resistance Machines - Free Weights - Xpress Zone - Kick Fit Area - Steam & Sauna - Internet Kiosks Operating Hours: Monday to Friday: 6:00 am - 12:00 midnight Saturday: 6:00 am to 10:00 pm Sunday and Publ","California Fitness - Velocity@Novena Square",103.843656771807,1.32021101601674
"17","117439","","29","7","Pasir Panjang Road","20","Facilities: 44m heated pool, Group Exercise studio, outdoor TRX? Suspension Training? area, boxing area, cardiovascular equipment (treadmills, rowers etc), a free weights area, resistance machines and a functional training area. Operating Hours: Monday ? Friday : 6.30am ? 10.00p","Fitness First - Alexandra (Mapletree Business City)",103.799064826968,1.274827493389
"18","188306","","11","3","Selegie Road","1","Operating Hours: Monday-Friday: 6:30am to 10:30pm Saturday-Sunday: 9:00am to 7:00pm Tel: 63370082/ 63370037","Evolve MMA - POMO Mall",103.849264282609,1.3001084594134
"19","68912","","1","9","","","Facilities: Heated swimming pool, group exercise studio, cycling studio, cardiovascular and resistance strength training equipment Operating Hours: Monday ? Friday : 6.00am ? 10.00pm  Saturday : 7.00am ? 7.00pm Sunday and Public Holidays : Closed Tel: 6536 5595","Fitness First - Captial Tower",103.847522674168,1.27771181456553
"20","419903","","","","A Changi Road","498","","Yoga Connections",103.914005195669,1.31923098288927
