"","CENTRE_NAME","Longtitude","Latitude"
"1","CHILDREN'S COVE PRESCHOOL PTE.LTD.",103.807166053402,1.29933286180554
"2","CHILDREN'S COVE PTE. LTD.",103.826031941452,1.31283861068763
"3","CHILDREN'S VINEYARD PRESCHOOL PTE. LTD",103.840907484638,1.34884335934228
"4","CHILDTIME CARE & DEVELOPMENT CENTRE PTE.LTD.",103.804760539464,1.43502365311575
"5","CHILTERN HOUSE",103.839049711393,1.33315018142583
"6","CHILTERN HOUSE EAST COAST",103.880481033646,1.30802739309345
"7","CHILTERN HOUSE MOUNTBATTEN",103.880481033646,1.30802739309345
"8","CHILTERN HOUSE TURF CLUB",103.793705364705,1.33463584452877
"9","CHINESE CHRISTIAN MISSION LIMITED",103.746502071635,1.3474438447262
"10","CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (CCK 542) LTD.",103.74479262074,1.39360501614875
"11","CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE LTD.",103.757250629445,1.37841033558765
"12","CI AI EDUCATION INCUBATOR",103.910103846572,1.40135242358974
"13","CITIKIDS ACADEMY PTE LTD",103.847397556382,1.28182146197888
"14","CITIKIDS EDVENTURE PTE. LTD.",103.772431740954,1.38452839283974
"15","CM CENTRAL PTE LTD",103.839489201242,1.3742395112678
"16","CREATIVE O PRESCHOOLERS' BAY",103.745882876465,1.32880462553673
"17","CREATIVE THINKERS PRESCHOOL PTE. LTD.",103.772116400394,1.34117839315545
"18","CREATIVELAND CHILDCARE AND DEVELOPMENT CENTRE@ADMIRALTY PTE LTD",103.799393676198,1.44198957194736
"19","CREATIVELAND CHILDCARE AND DEVELOPMENT CENTRE@CRESCENT PTE LTD",103.748146200295,1.40409114797941
"20","CREATIVELAND CHILDCARE AND DEVELOPMENT CENTRE@YEW TEE PTE LTD",103.749728613602,1.3966101657043
"21","CUDDLE KIDS PLAYHOUSE PTE. LTD.",103.792255902541,1.42907711280696
"22","DA LITTLE PRESCHOOL AT CECIL PRIVATE LIMITED",103.848411658117,1.27925608583225
"23","DAYSPRING CHILD CARE CENTRE LLP",103.898820546221,1.41494972645652
"24","DAYSTAR CHILD DEVELOPMENT CENTRE",103.794216838381,1.30649441072762
"25","DAYSTAR CHILD DEVELOPMENT CENTRE",103.696934682535,1.33542562000601
"26","Deerland Pre-School Pte Ltd",103.850648935089,1.34203351017874
"27","DISCOVERY KIDZ EMPIRE PTE. LTD.",103.811713610207,1.31961853173441
"28","DISCOVERY KIDZ PRESCHOOL PTE. LTD.",103.951229930969,1.32697465393224
"29","DISCOVERY PLANET LIMITED PARTNERSHIP",103.875389836619,1.37792345234586
"30","EAGER BEAVER SCHOOLHOUSE 1 PTE. LTD.",103.837125287702,1.42750548599952
"31","EAGER BEAVER SCHOOLHOUSE 2 PTE. LTD.",103.818078221778,1.28205539261324
"32","EARLY LEARNING'S FUN PRESCHOOL PTE. LTD.",103.767874637518,1.33605522835293
"33","E-BRIDGE PRE-SCHOOL",103.91324579111,1.40582241937246
"34","E-BRIDGE PRE-SCHOOL PTE LTD",103.807644660155,1.27621463009469
"35","E-BRIDGE PRE-SCHOOL PTE LTD",103.894482355022,1.38975552143606
"36","E-BRIDGE PRE-SCHOOL PTE LTD",103.798507625095,1.43109806887589
"37","E-BRIDGE PRE-SCHOOL PTE LTD",103.880697279898,1.39157653967838
"38","E-BRIDGE PRE-SCHOOL PTE LTD",103.893101299711,1.40272812094657
"39","E-BRIDGE PRE-SCHOOL PTE LTD",103.914597295262,1.39910670573431
"40","E-BRIDGE PRE-SCHOOL PTE LTD",103.724287562002,1.32753738090176
"41","E-BRIDGE PRE-SCHOOL PTE LTD",103.897512949112,1.3692041855084
"42","E-BRIDGE PRE-SCHOOL PTE LTD",103.737291786664,1.3561417411746
"43","E-Bridge Pre-School Pte Ltd",103.811942989579,1.29608899950814
"44","E-Bridge Pre-School Pte Ltd",103.834981325618,1.44515880048936
"45","E-BRIDGE PRE-SCHOOL PTE. LTD.",103.902238678308,1.3824603731961
"46","E-BRIDGE PRE-SCHOOL PTE. LTD.",103.9096515897,1.38897323615176
"47","E-BRIDGE PRE-SCHOOL PTE. LTD.",103.909882892179,1.40374586341071
"48","E-BRIDGE PRE-SCHOOL PTE. LTD.",103.888575098993,1.32982009815354
"49","E-BRIDGE PRE-SCHOOL PTE. LTD.",103.828070543522,1.45093931573065
"50","E-BRIDGE PRE-SCHOOL PTE. LTD.",103.844547671806,1.41840746443578
"51","E-BRIDGE PRE-SCHOOL PTE. LTD.",103.763961852618,1.38051732815913
"52","EDUCA-ZION GROUP PTE. LTD.",103.810031318703,1.28112226404961
"53","EDUGARDEN DISCOVERY PTE. LTD.",103.724496802996,1.35192511855639
"54","EILEEN'S EDUCATION HUB PTE LTD",103.964617781926,1.36700053783377
"55","EILEEN'S LEARNING CENTRE PTE. LTD.",103.934315241946,1.35542176629635
"56","ELFA Chinese Preschool",103.779326745473,1.31984371498439
"57","ELFA PRESCHOOL",103.883962386332,1.35754686688981
"58","ELITE KIDZ PRESCHOOL",103.747648922199,1.32129336205613
"59","EMILE PRESCHOOL PTE. LTD.",103.88581066901,1.34233537408546
"60","EMMANUEL CHILD EDUCARE",103.825900267535,1.44120473979245
"61","ENFANT EDUCARE PTE LTD",103.862570478093,1.308715697145
"62","EQ EDUCARE PTE LTD",103.745553844373,1.38510079704404
"63","EQ-LEARNERS EDUCARE PTE LTD",103.738931802142,1.37805614217621
"64","ESHKOL VALLEY @ GOSPEL LIGHT PTE. LTD.",103.913468711518,1.39162168417487
"65","ESHKOL VALLEY @ NORTHSTAR PTE. LTD.",103.875389836619,1.37792345234586
"66","ESHKOL VALLEY @ SENGKANG PEARL PTE. LTD.",103.899960023179,1.38639821574141
"67","ETONHOUSE BILINGUAL PRE-SCHOOL PTE. LTD.",103.772921569193,1.345444108268
"68","ETONHOUSE PRE-SCHOOL PTE LTD",103.841157125203,1.29197050220301
"69","ETONHOUSE PRE-SCHOOL PTE LTD",103.798218031897,1.33124060493416
"70","ETONHOUSE PRE-SCHOOL PTE LTD",103.841022301849,1.31719717522662
"71","ETONHOUSE PRE-SCHOOL PTE LTD",103.87898464628,1.30846563615769
"72","ETONHOUSE PRE-SCHOOL PTE LTD",103.886664521422,1.30111803050229
"73","ETONHOUSE PRE-SCHOOL PTE LTD",103.802016790014,1.32809162956526
"74","EUREKA SCHOOLHOUSE PTE LTD",103.756238311502,1.31972453237922
"75","EUREKA SCHOOLHOUSE PTE LTD",103.957683535737,1.33848284969373
"76","First Steps Preschol @ Jurong",103.752715205461,1.32857137803758
"77","First Steps Preschool @ Admiralty",103.796073475424,1.44180556582701
"78","First Steps Preschool @ Macpherson",103.879236224062,1.32880573322082
"79","First Steps Preschool @ Sengkang",103.870391672049,1.38716526684982
"80","First Steps Preschool @ Yishun",103.843618914599,1.43678095925838
"81","First Steps Preschool@ East Coast",103.906458599732,1.3012903760623
"82","GENESIS CHILD CARE (TP) PTE. LTD.",103.951083189256,1.35906224341534
"83","GENIUS HIVE PRE-SCHOOL PTE. LTD.",103.84919562674,1.28055039457141
"84","GENIUS SCHOOL HOUSE",103.915464678902,1.39905761454622
"85","GLOBAL CHILD DEVELOPMENT CENTRE",103.798859980051,1.43342605184092
"86","GLOBAL CHILD DEVELOPMENT CENTRE @ TAMPINES",103.931752248071,1.3560869980357
"87","GLOBAL MINDZ (EDEN) PRESCHOOL LIMITED",103.900770049824,1.39368190195314
"88","CARPE DIEM JUNIORS PTE. LTD.",103.865023825006,1.30979212600887
"89","CARPE DIEM KIDS ACADEMY @ WATTEN PTE. LTD.",103.806971525563,1.32772461885061
"90","CARPE DIEM KIDSWORLD PTE. LTD.",103.699978670147,1.34617364982715
"91","CARPE DIEM KIDZ PLAYHOUSE PTE. LTD.",103.829594895384,1.45623681233859
"92","CARPE DIEM KIDZ UNIVERSE PTE. LTD.",103.796873230009,1.28533795869491
"93","CARPE DIEM KINDERACE PTE. LTD.",103.748972273329,1.35175349251737
"94","CARPE DIEM KINDERCARE PTE. LTD.",103.909386975272,1.3302319193039
"95","CARPE DIEM LITTLE GREEN HOUSE PTE. LTD.",103.802721060087,1.43475840112514
"96","CARPE DIEM MI PRESCHOOL PTE. LTD.",103.88122288652,1.37465060586757
"97","CARPE DIEM MI SCHOOLHOUSE PTE. LTD.",103.878108309572,1.37676277073489
"98","CARPE DIEM SCHOOLHOUSE PTE LTD",103.843250727572,1.33796172734574
"99","CARPE DIEM SCHOOLHOUSE PTE LTD",103.770314556273,1.34346212474231
"100","Carpe Diem Schoolhouse Pte Ltd",103.885659928493,1.39315967300012
"101","CARPE DIEM SCHOOLHOUSE PTE. LTD.",103.774522634595,1.33819254002373
"102","CARPE DIEM SPRINGS PTE. LTD.",103.83565927616,1.27394214952866
"103","CARPE DIEM STARLETS 1 PTE. LTD.",103.751983017752,1.37821370734456
"104","CARPE DIEM STARLETS 2 PTE. LTD.",103.750339359395,1.37884241065158
"105","CARPE DIEM STARLETS SPARKLE PTE. LTD.",103.818496868157,1.28265615383848
"106","CARPE DIEM YOUNG HEARTS PTE. LTD.",103.961599963,1.3550505799684
"107","CARPE DIEM YOUNG JOY PTE. LTD.",103.770768312339,1.38358044141428
"108","CARPE DIEM YOUNG MINDS PTE. LTD.",103.952611417883,1.35479930016955
"109","Centre of New Life Schoolhouse",103.698883758933,1.3493816179959
"110","LITTLE GREENHOUSE @ JW PTE. LTD.",103.723952185693,1.34735317108714
"111","LITTLE GREENHOUSE @ S540 PTE LTD",103.872572638953,1.37461946643915
"112","LITTLE GREENHOUSE @ S553 PTE LTD",103.871233396559,1.37171081553149
"113","Little Greenhouse @ Sengkang Pte. Ltd.",103.900382216905,1.39167651418664
"114","Little Greenhouse @ Sengkang Pte. Ltd.",103.900408419804,1.39337423793923
"115","LITTLE GREENHOUSE @ TAMPINES PTE. LTD.",103.93689098194,1.35764787273626
"116","LITTLE GREENHOUSE @ WOODLANDS PTE. LTD.",103.773674050423,1.43333488120743
"117","GLOBAL TOTS @ BRADDELL PTE. LTD.",103.861946577428,1.34483501031514
"118","GLOBAL TOTS @ MOUNTBATTEN PTE LTD",103.893811771817,1.29968443549533
"119","GLOBAL TOTS @ SEMBAWANG PTE LTD",103.824535836162,1.43811188147063
"120","GLOBAL TOTS PTE. LTD.",103.799256734917,1.31025382506903
"121","GLOBALKIDS EDU PTE LTD",103.871996421774,1.37563499622552
"122","GLORY JOY CHILD DEVELOPMENT CENTRE",103.82136989322,1.452185711147
"123","GRACE CHILD DEVELOPMENT CENTRE",103.900231397149,1.3892919036458
"124","GREEN PASTURES CHILD CENTRE",103.810754239097,1.32178568094531
"125","GREENERY CHILDCARE CENTRE",103.737757438519,1.37584148649432
