"","PHOTOURL","ADDRESSBLOCKHOUSENUMBER","NAME","ADDRESSSTREETNAME","ADDRESSPOSTALCODE","ADDRESS_MYENV","Longtitude","Latitude"
"1","","50","Market Street Hawker Centre","Market Street","48940","",103.850164578087,1.2844248503218
"2","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg","4","Marsiling Mall Hawker Centre","Woodlands Street 12","738623","Blk 4,Woodlands St 12,Singapore�738623",103.779784899996,1.43353885680037
"3","","38A","Margaret Drive Hawker Centre","Margaret Drive","142038","",103.804715225285,1.29748567106686
"4","","21","Fernvale Hawker Centre & Market","Sengkang West Avenue","797650","",103.877060478847,1.39159232727757
"5","","1","One Punggol Hawker Centre","Punggol Drive","828629","",103.904805657576,1.40818996870647
"6","","21","Bukit Canberra Hawker Centre","Canberra Link","756973","",103.822484958307,1.44901674160031
"7","","2","Senja Hawker Centre","Senja Close","677632","",103.761017756804,1.38713573069818
"8","","72","Buangkok Hawker Centre","Compassvale Bow","544692","",103.892403203249,1.38238755827879
"9","","469A","Bukit Batok West Hawker Centre","Bukit Batok West Avenue 9","651469","",103.741825836536,1.35521457121361
"10","","78C","Telok Blangah Hawker Centre & Market","Telok Blangah Drive","103078","",103.808078713674,1.27324863952078
"11","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262227194623.jpg","538","Bedok North Street 3 Blk 538","Bedok North Street 3","460538","Blk 538, Bedok North Street 3, Singapore 460538",103.924844235398,1.33178125123252
"12","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg","85","Bedok North Street 4 Blk 85 (85 Fengshan Centre)","Bedok North Street 4","460085","Blk 85, Bedok North Street 4, Singapore 460085",103.938732580554,1.33198706861747
"13","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267437914368.jpg","2","Adam Road Food Centre","Adam Road","289876","2, Adam Road, Singapore 289876",103.814165010384,1.32413422253318
"14","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154437879.jpg","117","Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre)","Aljunied Ave 2","380117","Blk 117, Aljunied Ave 2, Singapore 380117",103.88701902611,1.32064829234987
"15","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265968760190.jpg","","Amoy Street Food Centre (Telok Ayer Food Centre)","Telok Ayer Street","69111","National Development Building, Annex B, Telok Ayer Street, Singapore 069111",103.846606784092,1.27921844263269
"16","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg","226D","Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre)","Ang Mo Kio Ave 1","564226","Blk 226D, Ang Mo Kio Ave 1, Singapore 564226",103.839231344066,1.36678764523637
